SPECIAL EVENTS CALENDAR 2017,,,,,,,,
,,,,,,,,
UPDATED 28 February 2017,,,,,,,,
,,,,,,,,Buses booked
Day,Date,Type,Event,Kick off,Vehicle Requirement,Tacho,Comments,out by
,,,,,,,,
,,,Reading,,SD High Back Seats,No,Duty 9731 42A 2349 - 0305,Night Chargehand
Sun,290117,SWT Rail Repl,Hampton Court and,,Newbury SD,No,Duty 9730 428A 0700 - 1700 Break 1155-1249,Night Chargehand
,,,Clapham Junction,,651 - 654,No,Duty 9731 428B 1400 - 0055 Breaks 1530-1619 & 1855-1949,Night Chargehand
,,,,,651 - 654,No,Duty 9732 429A 0605 - 1700 Breaks 0855-0949 & 1225-1319,Night Chargehand
,,,,,651 - 654,No,Duty 9733 429B 1425 - 0130 Breaks 1600-1649 & 1925-2019,Night Chargehand
Mon,300117,Vodafone Shuttle,Bracknell - Vodafone,,generic SD or DD,No,Duty 9650 (0508 - 1008) (see work ticket),Night Chargehand
,,Vodafone Shuttle,Bracknell - Vodafone,,generic SD or DD,No,Duty 9651 (1513 - 2012) (see work ticket),Night Chargehand
Tues,310117,Vodafone Shuttle,Bracknell - Vodafone,,generic SD or DD,No,Duty 9650 (0508 - 1008) (see work ticket),Night Chargehand
,,Vodafone Shuttle,Bracknell - Vodafone,,generic SD or DD,No,Duty 9651 (1513 - 2012) (see work ticket),Night Chargehand
Wed,010217,Vodafone Shuttle,Bracknell - Vodafone,,generic SD or DD,No,Duty 9650 (0508 - 1008) (see work ticket),Night Chargehand
,,Vodafone Shuttle,Bracknell - Vodafone,,generic SD or DD,No,Duty 9651 (1513 - 2012) (see work ticket),Night Chargehand
Thurs,020217,Vodafone Shuttle,Bracknell - Vodafone,,generic SD or DD,No,Duty 9650 (0508 - 1008) (see work ticket),Night Chargehand
,,Vodafone Shuttle,Bracknell - Vodafone,,generic SD or DD,No,Duty 9651 (1513 - 2012) (see work ticket),Night Chargehand
Fri,030217,Vodafone Shuttle,Bracknell - Vodafone,,generic SD or DD,No,Duty 9650 (0508 - 1008) (see work ticket),Night Chargehand
,,Vodafone Shuttle,Bracknell - Vodafone,,generic SD or DD,No,Duty 9651 (1513 - 2012) (see work ticket),Night Chargehand
Sat,040217,GWR Rail Repl,Twyford and,,SD High Back Seats,No,Duty 9730 39A 2329 - 0155,Night Chargehand
,,,Reading,,SD High Back Seats,No,Duty 9731 42A 2349 - 0305,Night Chargehand
Sun,050217,Rugby Union,Nottingham Rugby,1500,TBA by Control,No,,Control
Sun,050217,SWT Rail Repl,Hounslow and,,DD High Speed,No,Duty 9730 428A 0508 - 1411 Breaks 0915-0952 & 1145-1222,Night Chargehand
,,,Windsor & Eton,,DD High Speed,No,"Duty 9731 428B 1208 - 2250 Breaks 1415-1452, 1645-1722 ",Night Chargehand
,,,(Riverside),,,,and 1915 - 1952,
,,,,,DD High Speed,No,Duty 9732 429A 0538 - 1439 Breaks 0945-1022 & 1215-1252,Night Chargehand
