"","routeNo","nClaims","rank","cumPctRoutes","pctClaims","cumPctClaims"
"179","0852",1,179,0.795555555555556,0.000946969696969697,0.956439393939394
"180","0853",1,180,0.8,0.000946969696969697,0.957386363636364
"181","0855",1,181,0.804444444444444,0.000946969696969697,0.958333333333333
"182","0856",1,182,0.808888888888889,0.000946969696969697,0.959280303030303
"183","0860",1,183,0.813333333333333,0.000946969696969697,0.960227272727273
"184","0861",1,184,0.817777777777778,0.000946969696969697,0.961174242424242
"185","0916",1,185,0.822222222222222,0.000946969696969697,0.962121212121212
"186","0923",1,186,0.826666666666667,0.000946969696969697,0.963068181818182
"187","0F13",1,187,0.831111111111111,0.000946969696969697,0.964015151515151
"188","0F14",1,188,0.835555555555556,0.000946969696969697,0.964962121212121
"189","0F20",1,189,0.84,0.000946969696969697,0.965909090909091
"190","0K3A",1,190,0.844444444444444,0.000946969696969697,0.966856060606061
"191","0LH1",1,191,0.848888888888889,0.000946969696969697,0.96780303030303
"192","0LH2",1,192,0.853333333333333,0.000946969696969697,0.96875
"193","0LH3",1,193,0.857777777777778,0.000946969696969697,0.96969696969697
"194","0LH4",1,194,0.862222222222222,0.000946969696969697,0.970643939393939
"195","0N15",1,195,0.866666666666667,0.000946969696969697,0.971590909090909
"196","0V12",1,196,0.871111111111111,0.000946969696969697,0.972537878787879
"197","1/12",1,197,0.875555555555556,0.000946969696969697,0.973484848484849
"198","1104",1,198,0.88,0.000946969696969697,0.974431818181818
"199","1109",1,199,0.884444444444444,0.000946969696969697,0.975378787878788
"200","1110",1,200,0.888888888888889,0.000946969696969697,0.976325757575758
"201","1208",1,201,0.893333333333333,0.000946969696969697,0.977272727272727
"202","1209",1,202,0.897777777777778,0.000946969696969697,0.978219696969697
"203","13/1",1,203,0.902222222222222,0.000946969696969697,0.979166666666667
"204","163/",1,204,0.906666666666667,0.000946969696969697,0.980113636363636
"205","205/",1,205,0.911111111111111,0.000946969696969697,0.981060606060606
"206","211B",1,206,0.915555555555556,0.000946969696969697,0.982007575757576
"207","212/",1,207,0.92,0.000946969696969697,0.982954545454545
"208","214/",1,208,0.924444444444444,0.000946969696969697,0.983901515151515
"209","256/",1,209,0.928888888888889,0.000946969696969697,0.984848484848485
"210","2731",1,210,0.933333333333333,0.000946969696969697,0.985795454545455
"211","33/1",1,211,0.937777777777778,0.000946969696969697,0.986742424242424
"212","5Dz6",1,212,0.942222222222222,0.000946969696969697,0.987689393939394
